Type	Rank	Freq	Range	NormFreq	NormRange
revista brasileira de gestão	3	1755	1	6136.449	1.000
disponível em acesso em	13	1382	1	4832.235	1.000
rio grande do sul	16	973	1	3402.145	1.000
do rio grande do	20	841	1	2940.601	1.000
cadernos de prospecção salvador	27	739	1	2583.952	1.000
setembro dezembro issn doi	31	728	1	2545.490	1.000
fonte elaborado pelos autores	34	721	1	2521.014	1.000
no que diz respeito	46	620	1	2167.862	1.000
coal oil natural gas	48	612	1	2139.890	1.000
do rio de janeiro	49	600	1	2097.931	1.000
universidade federal do rio	51	585	1	2045.483	1.000
no que se refere	52	579	1	2024.504	1.000
no ensino da matemática	55	562	1	1965.062	1.000
inovação no ensino da	60	540	1	1888.138	1.000
do ponto de vista	61	532	1	1860.166	1.000
na medida em que	64	524	1	1832.193	1.000
fonte dados da pesquisa	67	502	1	1755.269	1.000
ao longo do tempo	69	492	1	1720.304	1.000
universidade federal de santa	70	482	1	1685.338	1.000
de de dezembro de	76	460	1	1608.414	1.000
de acordo com os	78	439	1	1534.987	1.000
do processo de inovação	79	434	1	1517.504	1.000
federal do rio grande	81	427	1	1493.028	1.000
maio agosto issn doi	81	427	1	1493.028	1.000
de acordo com as	85	421	1	1472.049	1.000
no processo de inovação	86	420	1	1468.552	1.000
federal de santa catarina	89	401	1	1402.118	1.000
de gestão da inovação	97	381	1	1332.186	1.000
ciências inovação no ensino	98	370	1	1293.724	1.000
do conselho de administração	99	368	1	1286.731	1.000
de transferência de tecnologia	103	366	1	1279.738	1.000
das ciências inovação no	104	362	1	1265.752	1.000
ecossistemas de empreendedorismo inovadores	106	360	1	1258.759	1.000
inovação no setor público	111	354	1	1237.780	1.000
fonte elaborada pelos autores	115	345	1	1206.311	1.000
instituições de ensino superior	121	323	1	1129.386	1.000
desenvolvimento de novos produtos	123	316	1	1104.911	1.000
empresas de base tecnológica	125	305	1	1066.448	1.000
da universidade federal de	127	303	1	1059.455	1.000
na base de dados	129	299	1	1045.469	1.000
de direito inovação propriedade	140	285	1	996.517	1.000
direito inovação propriedade intelectual	140	285	1	996.517	1.000
ao longo dos anos	143	284	1	993.021	1.000
de pedidos de patentes	147	282	1	986.028	1.000
em ciência da informação	147	282	1	986.028	1.000
em sala de aula	164	269	1	940.573	1.000
oil natural gas nuclear	166	266	1	930.083	1.000
rio grande do norte	173	261	1	912.600	1.000
que se refere à	174	260	1	909.104	1.000
entre os anos de	181	256	1	895.117	1.000
inovação rio de janeiro	181	256	1	895.117	1.000
de coleta de dados	183	255	1	891.621	1.000
objetos de conhecimento habilidades	183	255	1	891.621	1.000
da biodiversidade da amazônia	190	250	1	874.138	1.000
instituto brasileiro de geografia	192	249	1	870.642	1.000
pelos autores deste artigo	194	248	1	867.145	1.000
que diz respeito à	198	244	1	853.159	1.000
de tecnologia da informação	204	240	1	839.173	1.000
revistafitos far fiocruz br	210	239	1	835.676	1.000
rede de inovação da	217	237	1	828.683	1.000
cc by issn doi	220	234	1	818.193	1.000
direitos de propriedade intelectual	220	234	1	818.193	1.000
de mão de obra	226	233	1	814.697	1.000
inovação da biodiversidade da	234	228	1	797.214	1.000
janeiro abril issn doi	234	228	1	797.214	1.000
sistema nacional de inovação	238	225	1	786.724	1.000
de inovação da biodiversidade	240	224	1	783.228	1.000
revista brasileira de biblioteconomia	246	220	1	769.242	1.000
revista de direito inovação	251	217	1	758.752	1.000
instituto nacional da propriedade	260	211	1	737.773	1.000
ministério da ciência tecnologia	261	210	1	734.276	1.000
natural gas electricity heat	269	206	1	720.290	1.000
oil natural gas electricity	269	206	1	720.290	1.000
far fiocruz br cc	272	204	1	713.297	1.000
fiocruz br cc by	272	204	1	713.297	1.000
da universidade federal do	275	200	1	699.310	1.000
universidade estadual de campinas	275	200	1	699.310	1.000
de documentos de patentes	277	198	1	692.317	1.000
de de maio de	280	197	1	688.821	1.000
gestão da produção operações	280	197	1	688.821	1.000
avaliado pelo sistema double	292	195	1	681.828	1.000
pelo sistema double blind	292	195	1	681.828	1.000
do estado do rio	300	194	1	678.331	1.000
nacional da propriedade industrial	300	194	1	678.331	1.000
brazilian applied science review	304	193	1	674.835	1.000
double blind review editor	304	193	1	674.835	1.000
sistema double blind review	309	191	1	667.842	1.000
de incentivo à inovação	315	190	1	664.345	1.000
de de janeiro de	319	189	1	660.848	1.000
elaborada pelos autores deste	320	188	1	657.352	1.000
núcleos de inovação tecnológica	320	188	1	657.352	1.000
rasi volta redonda rj	320	188	1	657.352	1.000
de inovação no setor	331	186	1	650.359	1.000
gepros gestão da produção	331	186	1	650.359	1.000
temáticas objetos de conhecimento	331	186	1	650.359	1.000
iea all rights reserved	338	184	1	643.366	1.000
de dados de patentes	346	180	1	629.379	1.000
reciis icict fiocruz br	346	180	1	629.379	1.000
revista de administração pública	346	180	1	629.379	1.000
federal do rio de	352	179	1	625.883	1.000
in treating patients with	352	179	1	625.883	1.000
de depósitos de patentes	355	178	1	622.386	1.000
diário oficial da união	361	176	1	615.393	1.000
pela universidade federal de	361	176	1	615.393	1.000
pública rio de janeiro	361	176	1	615.393	1.000
análise de redes sociais	372	175	1	611.897	1.000
de tomada de decisão	372	175	1	611.897	1.000
da gestão da inovação	374	174	1	608.400	1.000
