Type	Rank	Freq	Range	NormFreq	NormRange
do rio grande do sul	23	656	1	4896.034	1.000
inovação no ensino da matemática	32	540	1	4030.272	1.000
federal do rio grande do	42	411	1	3067.485	1.000
universidade federal do rio grande	43	406	1	3030.167	1.000
universidade federal de santa catarina	51	371	1	2768.946	1.000
ciências inovação no ensino da	52	370	1	2761.483	1.000
das ciências inovação no ensino	54	362	1	2701.775	1.000
de direito inovação propriedade intelectual	65	285	1	2127.088	1.000
coal oil natural gas nuclear	75	264	1	1970.355	1.000
no que se refere à	93	232	1	1731.524	1.000
de inovação da biodiversidade da	105	224	1	1671.816	1.000
inovação da biodiversidade da amazônia	105	224	1	1671.816	1.000
no que diz respeito à	105	224	1	1671.816	1.000
rede de inovação da biodiversidade	110	218	1	1627.036	1.000
revista de direito inovação propriedade	113	217	1	1619.572	1.000
oil natural gas electricity heat	120	206	1	1537.474	1.000
far fiocruz br cc by	122	204	1	1522.547	1.000
revistafitos far fiocruz br cc	122	204	1	1522.547	1.000
avaliado pelo sistema double blind	134	195	1	1455.376	1.000
instituto nacional da propriedade industrial	140	194	1	1447.912	1.000
pelo sistema double blind review	144	191	1	1425.522	1.000
sistema double blind review editor	148	189	1	1410.595	1.000
coal oil natural gas electricity	149	188	1	1403.132	1.000
elaborada pelos autores deste artigo	149	188	1	1403.132	1.000
fonte elaborada pelos autores deste	149	188	1	1403.132	1.000
gepros gestão da produção operações	159	186	1	1388.205	1.000
federal do rio de janeiro	167	179	1	1335.960	1.000
universidade federal do rio de	169	177	1	1321.034	1.000
do rio grande do norte	176	174	1	1298.643	1.000
guerra nav rio de janeiro	180	170	1	1268.789	1.000
de direito da cidade vol	190	164	1	1224.008	1.000
revista de direito da cidade	190	164	1	1224.008	1.000
unidades temáticas objetos de conhecimento	196	161	1	1201.618	1.000
applied science review braz rev	203	157	1	1171.764	1.000
science review braz rev curitiba	203	157	1	1171.764	1.000
no que diz respeito ao	209	156	1	1164.301	1.000
double blind review editor márcio	213	154	1	1149.374	1.000
estado do rio grande do	213	154	1	1149.374	1.000
de inovação no setor público	218	153	1	1141.910	1.000
temáticas objetos de conhecimento habilidades	218	153	1	1141.910	1.000
ana maria mielniczuk de moura	223	152	1	1134.447	1.000
universidade federal de minas gerais	223	152	1	1134.447	1.000
caagr iea all rights reserved	237	146	1	1089.666	1.000
brazilian applied science review braz	240	145	1	1082.203	1.000
comunicação informação inovação em saúde	240	145	1	1082.203	1.000
de comunicação informação inovação em	240	145	1	1082.203	1.000
eletrônica de comunicação informação inovação	240	145	1	1082.203	1.000
revista eletrônica de comunicação informação	240	145	1	1082.203	1.000
ao mesmo tempo em que	246	144	1	1074.739	1.000
da república federativa do brasil	246	144	1	1074.739	1.000
estado do rio de janeiro	251	142	1	1059.812	1.000
em saúde rio de janeiro	253	140	1	1044.885	1.000
shares caagr iea all rights	253	140	1	1044.885	1.000
informação inovação em saúde rio	267	136	1	1015.031	1.000
inovação em saúde rio de	267	136	1	1015.031	1.000
