Type	Rank	Freq	Range	NormFreq	NormRange
universidade federal do rio grande do	33	390	1	4389.420	1.000
ciências inovação no ensino da matemática	34	370	1	4164.322	1.000
das ciências inovação no ensino da	35	362	1	4074.282	1.000
federal do rio grande do sul	42	332	1	3736.635	1.000
de inovação da biodiversidade da amazônia	71	220	1	2476.083	1.000
rede de inovação da biodiversidade da	72	218	1	2453.573	1.000
revista de direito inovação propriedade intelectual	74	217	1	2442.319	1.000
revistafitos far fiocruz br cc by	80	204	1	2296.005	1.000
avaliado pelo sistema double blind review	95	191	1	2149.690	1.000
pelo sistema double blind review editor	99	189	1	2127.181	1.000
coal oil natural gas electricity heat	101	188	1	2115.926	1.000
fonte elaborada pelos autores deste artigo	101	188	1	2115.926	1.000
universidade federal do rio de janeiro	113	177	1	1992.122	1.000
revista de direito da cidade vol	125	164	1	1845.808	1.000
applied science review braz rev curitiba	129	157	1	1767.023	1.000
sistema double blind review editor márcio	137	154	1	1733.258	1.000
estado do rio grande do sul	148	147	1	1654.474	1.000
brazilian applied science review braz rev	152	145	1	1631.964	1.000
de comunicação informação inovação em saúde	152	145	1	1631.964	1.000
eletrônica de comunicação informação inovação em	152	145	1	1631.964	1.000
revista eletrônica de comunicação informação inovação	152	145	1	1631.964	1.000
shares caagr iea all rights reserved	162	140	1	1575.689	1.000
comunicação informação inovação em saúde rio	171	136	1	1530.670	1.000
informação inovação em saúde rio de	171	136	1	1530.670	1.000
inovação em saúde rio de janeiro	171	136	1	1530.670	1.000
power sector coal oil natural gas	178	134	1	1508.160	1.000
issn revista exitus santarém pa vol	184	130	1	1463.140	1.000
nuclear renewables hydro bioenergy wind geothermal	186	128	1	1440.630	1.000
unidades temáticas objetos de conhecimento habilidades	186	128	1	1440.630	1.000
coal oil natural gas nuclear renewables	191	126	1	1418.120	1.000
de direito da cidade vol issn	191	126	1	1418.120	1.000
gas nuclear hydro bioenergy other renewables	197	124	1	1395.611	1.000
gas nuclear renewables hydro bioenergy wind	197	124	1	1395.611	1.000
natural gas nuclear hydro bioenergy other	197	124	1	1395.611	1.000
natural gas nuclear renewables hydro bioenergy	197	124	1	1395.611	1.000
oil natural gas nuclear hydro bioenergy	197	124	1	1395.611	1.000
oil natural gas nuclear renewables hydro	197	124	1	1395.611	1.000
coal oil natural gas nuclear hydro	207	122	1	1373.101	1.000
de aperfeiçoamento de pessoal de nível	207	122	1	1373.101	1.000
instituto nacional da propriedade industrial inpi	210	121	1	1361.846	1.000
aperfeiçoamento de pessoal de nível superior	211	120	1	1350.591	1.000
do rio grande do sul ufrgs	213	119	1	1339.336	1.000
rasi avaliado pelo sistema double blind	213	119	1	1339.336	1.000
católica de brasília ucb brasília df	215	118	1	1328.081	1.000
universidade católica de brasília ucb brasília	215	118	1	1328.081	1.000
arquivo da secção de heráldica direcção	222	116	1	1305.571	1.000
da secção de heráldica direcção de	222	116	1	1305.571	1.000
oil natural gas electricity heat bioenergy	222	116	1	1305.571	1.000
reciis revista eletrônica de comunicação informação	222	116	1	1305.571	1.000
revista valore volta redonda edição especial	222	116	1	1305.571	1.000
secção de heráldica direcção de história	222	116	1	1305.571	1.000
coordenação de aperfeiçoamento de pessoal de	237	114	1	1283.061	1.000
de administração pública rio de janeiro	240	111	1	1249.297	1.000
revista de administração pública rio de	245	109	1	1226.787	1.000
bioenergy wind geothermal solar pv csp	248	108	1	1215.532	1.000
hydro bioenergy wind geothermal solar pv	248	108	1	1215.532	1.000
renewables hydro bioenergy wind geothermal solar	248	108	1	1215.532	1.000
axonal com brorbit com visão geral	257	106	1	1193.022	1.000
