Type	Rank	Freq	Range	NormFreq	NormRange
inovação	18	62712	1	6270.784	1.000
pesquisa	40	22720	1	2271.849	1.000
desenvolvimento	41	22280	1	2227.852	1.000
gestão	57	15002	1	1500.100	1.000
conhecimento	58	14911	1	1491.001	1.000
dados	66	13429	1	1342.811	1.000
pode	69	12424	1	1242.318	1.000
produção	76	11208	1	1120.726	1.000
meio	78	10996	1	1099.527	1.000
universidade	81	10479	1	1047.830	1.000
relação	84	10280	1	1027.932	1.000
produtos	85	10176	1	1017.532	1.000
trabalho	87	10078	1	1007.733	1.000
informação	90	9750	1	974.935	1.000
partir	94	9641	1	964.036	1.000
educação	105	8693	1	869.242	1.000
serviços	107	8575	1	857.443	1.000
recursos	109	8487	1	848.644	1.000
atividades	116	8163	1	816.246	1.000
ensino	117	8136	1	813.546	1.000
organização	123	7908	1	790.747	1.000
saúde	125	7770	1	776.948	1.000
sociais	127	7684	1	768.349	1.000
estudos	128	7562	1	756.150	1.000
diferentes	131	7416	1	741.551	1.000
novos	144	6778	1	677.755	1.000
setor	145	6760	1	675.955	1.000
informações	146	6718	1	671.755	1.000
sociedade	147	6717	1	671.655	1.000
ciência	151	6655	1	665.456	1.000
inovações	153	6598	1	659.756	1.000
caso	155	6583	1	658.256	1.000
práticas	167	6153	1	615.259	1.000
brasileira	170	6120	1	611.959	1.000
organizações	173	6082	1	608.160	1.000
instituições	179	5933	1	593.261	1.000
projetos	181	5917	1	591.661	1.000
disponível	184	5829	1	582.861	1.000
capacidade	185	5823	1	582.261	1.000
tempo	187	5773	1	577.262	1.000
projeto	188	5759	1	575.862	1.000
artigo	194	5697	1	569.662	1.000
área	199	5627	1	562.663	1.000
rede	200	5601	1	560.063	1.000
janeiro	204	5424	1	542.364	1.000
criação	207	5209	1	520.865	1.000
produto	207	5209	1	520.865	1.000
comunicação	213	5133	1	513.266	1.000
ações	215	5111	1	511.066	1.000
administração	218	5049	1	504.866	1.000
público	219	5039	1	503.867	1.000
possível	223	4823	1	482.268	1.000
principais	227	4800	1	479.968	1.000
acordo	232	4695	1	469.469	1.000
direito	233	4679	1	467.869	1.000
formação	235	4633	1	463.269	1.000
áreas	237	4605	1	460.469	1.000
qualidade	240	4588	1	458.770	1.000
nível	247	4480	1	447.970	1.000
importante	250	4434	1	443.371	1.000
relações	252	4416	1	441.571	1.000
região	263	4263	1	426.272	1.000
aprendizagem	267	4220	1	421.972	1.000
construção	269	4200	1	419.972	1.000
